"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
5000.41220768451,4346.16254535229,5753.12804942331,4035.21690887181,6196.42171021526
4621.17498424537,3818.25904554946,5592.89233123694,3451.32965365311,6187.44591790872
4472.45798439858,3638.74029921267,5497.15518142352,3262.27683946183,6131.45554349851
4418.86890832905,3579.74322246465,5454.64803535836,3202.09939621624,6097.8809664616
4374.12562965364,3537.12418641041,5409.1435485188,3160.96296727061,6052.77411455474
4585.79317566253,3704.09257507921,5677.31989700595,3308.19143488266,6356.66862450921
4637.066140053,3742.63737420543,5745.19898022152,3341.26028469363,6435.28058269261
4459.64297149621,3597.63506688285,5528.14342074964,3210.95745609956,6193.79469064484
4391.09160303613,3541.15157030636,5444.98506376388,3159.98628765852,6101.70128370045
4383.29478643509,3534.0033880146,5436.64032965676,3153.20107956543,6093.13523915175
4383.27354813767,3533.29387133929,5437.67927410692,3152.24100887636,6094.93172067345
4365.91041060441,3518.70325451417,5417.05431186733,3138.94321455335,6072.35672226895
4598.45772446533,3705.56923434752,5706.44521799635,3305.37920180121,6397.2627732292
4664.87234647831,3758.55959140705,5789.67613108175,3352.39724142462,6491.05255273988
4493.97808753667,3620.37473320537,5578.33451419029,3228.91246143879,6254.55895984527
4427.3648991506,3566.24312103249,5496.36875070176,3180.41318914115,6163.08474459881
4419.1991626894,3559.21091353466,5486.93220062669,3173.92713536094,6152.91954638115
4417.62536961861,3557.49462860484,5485.66999992023,3172.18480339369,6151.91484849935
4398.13217917247,3541.35258088706,5462.14905069862,3157.58138908522,6125.94396042758
4630.28052335272,3727.81914616987,5751.16632817588,3323.6246554714,6450.50391515664
4695.30363547129,3779.6992361954,5832.65479247517,3369.65787081804,6542.33163263368
4522.00875014994,3639.73667812262,5618.09370374442,3244.66165741891,6302.0866143972
4454.34158295428,3584.82013920342,5534.72194697787,3195.49289774866,6208.97850878505
4446.19430860906,3577.814916848,5525.29085308341,3189.03691083156,6198.80961072136
4445.41908893762,3576.7427186002,5525.01996752916,3187.86965998327,6198.91698060575
4427.34897538814,3561.7561394999,5503.25274120799,3174.30131616062,6174.90539030693
4663.42821036113,3751.21579505264,5797.41870379335,3342.93245296457,6505.39880171849
4732.07494375726,3805.9578877416,5883.49474365363,3391.49154166992,6602.42406608134
4561.12368030347,3667.99541683247,5671.67097867685,3268.33225417715,6365.146624285
4497.10499674948,3616.05360092697,5592.77446858104,3221.83357535834,6277.02496264895
4493.62286935787,3612.79838614081,5589.14816427785,3218.71850918608,6273.37340228122
