date,load
7/1/2011,5322.865465
7/2/2011,5304.598468
7/3/2011,5349.116385
7/4/2011,5340.66635
7/5/2011,5390.250885
7/6/2011,5670.70312
7/7/2011,5793.260323
7/8/2011,5609.699982
7/9/2011,5513.060988
7/10/2011,5559.574011
7/11/2011,5511.609017
7/12/2011,5539.29549
7/13/2011,5792.270064
7/14/2011,5884.346909
7/15/2011,5663.088599
7/16/2011,5532.025826
7/17/2011,5545.044119
7/18/2011,5465.413749
7/19/2011,5463.100061
7/20/2011,5684.856537
7/21/2011,5751.396037
7/22/2011,5517.3182
7/23/2011,5378.010231
7/24/2011,5385.529464
7/25/2011,5310.098226
7/26/2011,5317.125204
7/27/2011,5550.494303
7/28/2011,5641.189333
7/29/2011,5443.715696
7/30/2011,5344.372015
7/31/2011,5396.113339
