date,load
2011-07-01,5277.837992
2011-07-02,5108.162249
2011-07-03,5205.607271
2011-07-04,5190.767266
2011-07-05,5397.069841
2011-07-06,5659.4554
2011-07-07,5768.734441
2011-07-08,5441.357103
2011-07-09,5217.449551
2011-07-10,5390.791167
2011-07-11,5422.128086
2011-07-12,5469.622517
2011-07-13,5669.838572
2011-07-14,5796.006952
2011-07-15,5532.61955
2011-07-16,5385.909898
2011-07-17,5503.717943
2011-07-18,5470.125731
2011-07-19,5385.960848
2011-07-20,5578.979973
2011-07-21,5670.303123
2011-07-22,5373.377775
2011-07-23,5245.100577
2011-07-24,5309.156543
2011-07-25,5271.182781
2011-07-26,5323.257446
2011-07-27,5602.318714
2011-07-28,5647.135047
2011-07-29,5396.780031
2011-07-30,5222.690972
2011-07-31,5287.835923
