date,load
2011-07-01,5784.392528
2011-07-02,5533.31583
2011-07-03,5504.719912
2011-07-04,5557.119322
2011-07-05,5546.846437
2011-07-06,5600.411609
2011-07-07,5891.598482
2011-07-08,6019.961208
2011-07-09,5830.193021
2011-07-10,5730.441198
2011-07-11,5778.909089
2011-07-12,5729.359646
2011-07-13,5758.249989
2011-07-14,6020.907547
2011-07-15,6116.654503
2011-07-16,5887.162422
2011-07-17,5750.9794
2011-07-18,5764.159597
2011-07-19,5681.221103
2011-07-20,5678.518788
2011-07-21,5908.305676
2011-07-22,5977.110869
2011-07-23,5733.968371
2011-07-24,5588.889949
2011-07-25,5595.976106
2011-07-26,5517.030962
2011-07-27,5523.593244
2011-07-28,5764.811104
2011-07-29,5858.088033
2011-07-30,5652.534033
2011-07-31,5548.438288
