date,load
2011-07-01,4935.36496
2011-07-02,4508.84382
2011-07-03,4385.128933
2011-07-04,4078.734375
2011-07-05,4178.774294
2011-07-06,4602.615158
2011-07-07,4708.801747
2011-07-08,4424.91198
2011-07-09,4099.473244
2011-07-10,3996.504224
2011-07-11,4418.393244
2011-07-12,4583.872432
2011-07-13,4853.668396
2011-07-14,4791.460957
2011-07-15,4410.670513
2011-07-16,4092.374726
2011-07-17,4267.449554
2011-07-18,4439.812618
2011-07-19,4305.592055
2011-07-20,4528.614899
2011-07-21,4606.481124
2011-07-22,4107.731891
2011-07-23,3655.548495
2011-07-24,3962.526087
2011-07-25,4000.120295
2011-07-26,4061.71448
2011-07-27,4705.536675
2011-07-28,4629.121691
2011-07-29,4187.573582
2011-07-30,3729.363858
2011-07-31,3701.781064
