date,load
2011-07-01,5000.412208
2011-07-02,4621.174984
2011-07-03,4472.457984
2011-07-04,4418.868908
2011-07-05,4374.12563
2011-07-06,4585.793176
2011-07-07,4637.06614
2011-07-08,4459.642971
2011-07-09,4391.091603
2011-07-10,4383.294786
2011-07-11,4383.273548
2011-07-12,4365.910411
2011-07-13,4598.457724
2011-07-14,4664.872346
2011-07-15,4493.978088
2011-07-16,4427.364899
2011-07-17,4419.199163
2011-07-18,4417.62537
2011-07-19,4398.132179
2011-07-20,4630.280523
2011-07-21,4695.303635
2011-07-22,4522.00875
2011-07-23,4454.341583
2011-07-24,4446.194309
2011-07-25,4445.419089
2011-07-26,4427.348975
2011-07-27,4663.42821
2011-07-28,4732.074944
2011-07-29,4561.12368
2011-07-30,4497.104997
2011-07-31,4493.622869
