date,load
2011-07-01,5166.678193
2011-07-02,5112.025194
2011-07-03,4778.859569
2011-07-04,4375.752317
2011-07-05,4252.904053
2011-07-06,4491.668105
2011-07-07,4717.995202
2011-07-08,4671.807067
2011-07-09,4622.474499
2011-07-10,4384.991133
2011-07-11,4646.17217
2011-07-12,4602.949519
2011-07-13,4737.102101
2011-07-14,4936.66693
2011-07-15,4593.287896
2011-07-16,4587.196292
2011-07-17,4671.206917
2011-07-18,4663.309963
2011-07-19,4334.310229
2011-07-20,4453.05097
2011-07-21,4759.095665
2011-07-22,4364.97704
2011-07-23,4036.64753
2011-07-24,4301.420328
2011-07-25,4186.021961
2011-07-26,4164.547566
2011-07-27,4580.791037
2011-07-28,4795.482185
2011-07-29,4438.789496
2011-07-30,4064.072261
2011-07-31,3979.220834
